Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Train Time (s)
Decision Tree,0.7961320085166785,0.9241066831428277,0.699290890672485,0.7961320085166785,0.7789981714436646,0.64
Naive Bayes,0.7708481192334989,0.9160065111231688,0.6577573443466064,0.7656930333817126,0.8396529691726844,0.09
Random Forest,0.7785220014194464,0.9660009510223491,0.6332112522403179,0.7649799952930101,0.9628352105531142,2.71
K-Nearest Neighbors,0.7763041163946061,0.9733835683033544,0.6240941323151251,0.7605526803095769,0.8358490236132496,0.03
SVM (RBF),0.7652590489709014,0.9690259982584899,0.6070287539936102,0.7464545802989652,0.901330333171154,6.57
Logistic Regression,0.7539034776437189,0.9255754176889823,0.617314735447674,0.7406507105459985,0.8973743910780296,0.54
